Submission ID,Organization Name,Stage,HTSUS code,Product,Date Posted,Response Closes
USTR-2019-0005-0064,"Sea Eagle Boats, Inc",Granted,8903100060,Sea Eagle 370 Inflatable Kayak,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0065,"Cap America, Inc.",Denied,6505002060,Woven cotton baseball style cap,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0066,"Strehl, LLC",Granted,8716905060,Semi-Trailer Side Skirt Brackets,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0068,"Sunbright USA, Inc.",Denied,9401905081,"Seats, Parts, Other.","Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0072,Diggs Inc.,Granted,7323999080,"Revol dog crate, size small, SKU CRA003A","Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0074,"Sea Eagle Boats, Inc",Granted,8903100060,Sea Eagle 330 Inflatable Kayak,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0076,Hollon Safe Company LLC,Denied,8303000000,Steel Safes,"Aug 29, 2019","Sep 12, 2019"
USTR-2019-0005-0077,"WEC Manufacturing, LLC",Granted,9403908041,Cold Rolled Steel Lockers,"Sep 30, 2019","Oct 14, 2019"
USTR-2019-0005-0078,"StarRock Homes, LLC",Denied,9406900090,Prefabricated Homes not made of wood.,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0081,"Sea Eagle Boats, Inc",Denied,8414200000,A42 Foot pump,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0082,"Cap America, Inc.",Denied,6505008090,Woven polyester baseball style cap,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0088,"YETI Coolers, LLC",Denied,4202921000,YETI Hopper® soft coolers,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0089,The Cargo Cart Company LLC,Granted,8716805090,Scout Cart folding utility cart,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0090,"Sea Eagle Boats, Inc",Denied,8903100060,8903100060,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0091,"Green Luck Products, LLC",Denied,4602191700,Woven Wickerwork Baskets,"Jul 5, 2019","Jul 19, 2019"
USTR-2019-0005-0092,"Cap America, Inc.",Denied,6505006090,"Acrylic Knit Cap, also known as a beanie","Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0093,"Strehl, LLC",Granted,8716905060,Side Skirt Panels,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0095,"Sea Eagle Boats, Inc",Granted,8903100060,Pack Fish 7,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0098,"Sea Eagle Boats, Inc",Denied,8903100060,285 Frameless Pontoon Boat,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0100,"Sea Eagle Boats, Inc",Granted,8903100060,8903100060,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0101,"Pacific Rim Venutres, Inc., dba ProActive Sports, Inc.",Denied,8716805090,Clicgear and Rovic golf push carts,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0103,"Sea Eagle Boats, Inc",Denied,8414200000,A41 Foot Pump,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0104,"Sea Eagle Boats, Inc",Denied,8903100060,375 FoldCat,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0105,"Advantus, Corp.",Denied,4202923131,Mini Monster Deployment Bag,"Aug 12, 2019","Aug 26, 2019"
USTR-2019-0005-0106,"Sea Eagle Boats, Inc",Denied,8903100060,380 Explorer,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0107,Cast-Con Engineering GmbH & Co. KG (Cast-Con),Denied,7309000090,Slag pots made of casted steel and iron,"Jul 2, 2019","Jul 16, 2019"
USTR-2019-0005-0108,"Sea Eagle Boats, Inc",Granted,8903100060,420 Explorer,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0110,"Sea Eagle Boats, Inc",Denied,8903100060,300 Explorer,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0111,MITCHELL FABRICS dba THE MITCHELL GROUP,Denied,5903902500,SK SILICONE COATED FABRIC,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0113,"Sea Eagle Boats, Inc",Denied,8414801690,BTPMANO Electric Pump,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0114,"Sea Eagle Boats, Inc",Denied,8903100060,350x Fish Explorer,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0116,"Zoom Telephonics, Inc.",Denied,8517620010,MG7310,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0117,"Sea Eagle Boats, Inc",Granted,8903100060,8903100060,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0119,"Sea Eagle Boats, Inc",Granted,3926903000,AB30 Paddle,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0120,SYNPLUS INCORPORATED,Denied,4203104060,Women's leather coats and jacket,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0121,Johnson Matthey Inc.,Granted,3824993900,Chabazite Zeolite,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0122,"Sea Eagle Boats, Inc",Denied,8414801690,BP12 Electric Pump,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0123,"Sea Eagle Boats, Inc",Denied,3926903000,AB40 Paddle,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0131,SYNPLUS INCORPORATED,Denied,4203104030,Men's Leather Apparel  Coats and Jackets,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0138,"Pacific Rim Venutres, Inc., dba ProActive Sports, Inc.",Denied,8708998180,Alphard Drive Axel “Club Booster”,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0139,Magnifica Inc,Denied,2922392500,Bupropion Hydrochloride,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0141,SYNPLUS INCORPORATED,Denied,4203104095,Women's Leather Apparel Sportswear,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0143,Cast-Con Engineering GmbH & Co. KG (Cast-Con),Denied,8454200080,ladles made of casted steel or iron,"Jul 2, 2019","Jul 16, 2019"
USTR-2019-0005-0144,"Liquid Combustion Technology, LLC",Granted,8407329040,Winter-use spark-ignition gas engine,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0145,"RMS of Georgia , LLC d/b/a Choice Refrigerants",Granted,3824780020,Choice® R-421A refrigerant gas.,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0146,"Waterfall Industries Inc., DBA Discovery World Furniture",Denied,9403908041,Custom Metal Slat System,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0147,"Zoom Telephonics, Inc.",Denied,8517620010,MT7711,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0148,Encompass Distribution Services,Denied,3818000090,Silicon Wafers,"Jul 5, 2019","Jul 19, 2019"
USTR-2019-0005-0149,"Zoom Telephonics, Inc.",Denied,8517620020,MM1002,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0150,Pinnacle Investment Corporation & Subsidiaries,Granted,7322900015,Kerosene Forced Air Heater,"Jul 10, 2019","Jul 24, 2019"
USTR-2019-0005-0151,"Zoom Telephonics, Inc.",Denied,8517620020,MR1700,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0153,"Zoom Telephonics, Inc.",Denied,8517620010,3049,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0154,"Crown Prince, Inc.",Denied,1605514000,Crown Prince Smoked Oysters,"Jul 3, 2019","Jul 17, 2019"
USTR-2019-0005-0158,"Zoom Telephonics, Inc.",Denied,8517620020,MR1900,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0159,"Zoom Telephonics, Inc.",Denied,8517620010,15328,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0160,"Zoom Telephonics, Inc.",Denied,8517620020,MR2600,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0161,"Zoom Telephonics, Inc.",Denied,8517620010,4630,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0162,"Walt's Enterprises, Inc.",Granted,8539399000,NEON LAMPS,"Jul 2, 2019","Jul 16, 2019"
USTR-2019-0005-0163,"Apura Ingredients, Inc.",Denied,2924291000,Aspartame,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0164,Pinnacle Investment Corporation & Subsidiaries,Denied,7322900015,Gas Forced Air Heater,"Jul 10, 2019","Jul 24, 2019"
USTR-2019-0005-0169,"Zoom Telephonics, Inc.",Denied,8517620010,4631,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0170,"Zoom Telephonics, Inc.",Denied,8517620020,MX1200,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0171,"Crafty Contraptions, LLC",Denied,3213100000,Watercolor Paint Pack with Quality Wood,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0172,"Zoom Telephonics, Inc.",Denied,8517620010,4625,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0173,"Zoom Telephonics, Inc.",Denied,8517620010,4610,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0174,"Zoom Telephonics, Inc.",Denied,8517620010,4626,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0175,"Zoom Telephonics, Inc.",Denied,8517620010,4611,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0177,"Zoom Telephonics, Inc.",Denied,8517620010,4650,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0178,"Zoom Telephonics, Inc.",Denied,8517620010,4651,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0179,"Zoom Telephonics, Inc.",Denied,8517620010,4615,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0180,"Zoom Telephonics, Inc.",Denied,8517620010,4616,"Jun 30, 2019","Jul 14, 2019"
